doc_id,sent_id,relation,subj,subj_canonical,subj_label,subj_key,obj,obj_canonical,obj_label,obj_key,trigger,pattern,confidence,source,sentence
wn-0019,1,OPERATED_BY,Ariane 5,Ariane 5,SPACECRAFT,SPACECRAFT:Ariane 5,European Space Agency,ESA,ORG,ORG:ESA,Agency,poss,0.62,rule,"The European Space Agency's new Ariane 5 ECA rocket placed two satellites in orbit Saturday February 12, successfully completing its initial qualifying flight."
wn-0024,6,OPERATED_BY,Mars Express,Mars Express,SPACECRAFT,SPACECRAFT:Mars Express,European Space Agency,ESA,ORG,ORG:ESA,Agency,poss,0.62,rule,"New images of the landscape taken by the High Resolution Stereo Camera (HRSC) on the European Space Agency's Mars Express Mission show that flowing water, large glaciers and active volcanoes have also taken their toll on the face of Mars."
wn-0028,0,OPERATED_BY,Spitzer Space Telescope,Spitzer Space Telescope,SPACECRAFT,SPACECRAFT:Spitzer Space Telescope,NASA,NASA,ORG,ORG:NASA,NASA,poss,0.62,rule,"For the first time since the discovery of planets outside the solar system, light from two of the 145 confirmed extrasolar planets has been directly captured by NASA's Spitzer Space Telescope."
wn-0028,21,OPERATED_BY,Spitzer Space Telescope,Spitzer Space Telescope,SPACECRAFT,SPACECRAFT:Spitzer Space Telescope,Jet Propulsion Laboratory,JPL,ORG,ORG:JPL,manages,active_svo,0.88,rule,NASA's Jet Propulsion Laboratory manages the Spitzer Space Telescope mission for NASA's Science Mission Directorate.
wn-0029,22,OPERATED_BY,Hubble,Hubble Space Telescope,SPACECRAFT,SPACECRAFT:Hubble Space Telescope,NASA,NASA,ORG,ORG:NASA,NASA,poss,0.62,rule,"NASA's Hubble, Spitzer and Chandra space telescopes, along with the largest telescopes on Earth, will observe the effects of the material flying from the comet's newly formed crater along with the imagers aboard Deep Impact."
wn-0046,0,OPERATED_BY,Mars Reconnaissance Orbiter,Mars Reconnaissance Orbiter,SPACECRAFT,SPACECRAFT:Mars Reconnaissance Orbiter,NASA,NASA,ORG,ORG:NASA,NASA,poss,0.62,rule,"NASA's Mars Reconnaissance Orbiter (MRO), the latest robotic spacecraft destined for Mars, arrived at Kennedy Space Center's Shuttle Landing Facility on April 30 aboard a C-17 cargo plane and was delivered to the Payload Hazardous Servicing Facility to begin processing."
wn-0046,13,OPERATED_BY,Mars Reconnaissance Orbiter,Mars Reconnaissance Orbiter,SPACECRAFT,SPACECRAFT:Mars Reconnaissance Orbiter,JPL,JPL,ORG,ORG:JPL,managed,passive_agent,0.92,rule,"The Mars Reconnaissance Orbiter mission is managed by JPL, a division of the California Institute of Technology, Pasadena, for the NASA Science Mission Directorate, Washington."
wn-0050,3,LAUNCHED_BY,PSLV,PSLV,SPACECRAFT,SPACECRAFT:PSLV,Indian Space Research Organization,ISRO,ORG,ORG:ISRO,launched,passive_agent,0.92,rule,"PSLV-C6 was launched by Indian Space Research Organization (ISRO) on May 5, 2005 10:15 IST (May 05, 04:45 UT)."
wn-0057,0,OPERATED_BY,Deep Impact,Deep Impact,SPACECRAFT,SPACECRAFT:Deep Impact,NASA,NASA,ORG,ORG:NASA,NASA,poss,0.62,rule,"NASA's Deep Impact probe collided with the comet Tempel 1 on Monday, as intended by scientists."
wn-0057,8,DESTINATION,Deep Impact,Deep Impact,SPACECRAFT,SPACECRAFT:Deep Impact,Tempel 1,Tempel 1,CELESTIAL,CELESTIAL:Tempel 1,reach,verb_prep,0.82,rule,"Following its launch on January 12, 2005, the Deep Impact spacecraft took 174 days to reach Comet Tempel 1 at a cruising speed of 103,000 kilometers per hour (64,000 miles per hour)."
wn-0057,26,DESTINATION,Deep Impact,Deep Impact,SPACECRAFT,SPACECRAFT:Deep Impact,Tempel 1,Tempel 1,CELESTIAL,CELESTIAL:Tempel 1,approach,path_trigger,0.4,rule,* Movie of Deep Impact's approach to Tempel 1 * Movie of artist's conception of impact
wn-0068,0,DESTINATION,Orbiter Discovery,Orbiter Discovery,SPACECRAFT,SPACECRAFT:Orbiter Discovery,Earth,Earth,CELESTIAL,CELESTIAL:Earth,returned,verb_prep,0.82,rule,"The US Space Shuttle Orbiter Discovery has returned to Earth safely, landing at Edwards Air Force Base, California, touching down on runway 22 at 8:11:22 am EDT (1211 GMT), and rolling to a stop."
wn-0073,1,DESTINATION,Cassini-Huygens,Cassini-Huygens,SPACECRAFT,SPACECRAFT:Cassini-Huygens,Saturn,Saturn,CELESTIAL,CELESTIAL:Saturn,probe,path_trigger,0.4,rule,"This discovery was made after astronomers compiled results predominantly from the Voyager 2 spacecraft, which passed Saturn in 1981, and the Cassini-Huygens probe which entered Saturn's orbit last year."
wn-0073,1,ORBITS,Cassini-Huygens,Cassini-Huygens,SPACECRAFT,SPACECRAFT:Cassini-Huygens,Saturn,Saturn,CELESTIAL,CELESTIAL:Saturn,orbit,path_trigger,0.4,rule,"This discovery was made after astronomers compiled results predominantly from the Voyager 2 spacecraft, which passed Saturn in 1981, and the Cassini-Huygens probe which entered Saturn's orbit last year."
wn-0076,0,OPERATED_BY,Hubble Space Telescope,Hubble Space Telescope,SPACECRAFT,SPACECRAFT:Hubble Space Telescope,NASA,NASA,ORG,ORG:NASA,NASA,poss,0.62,rule,"NASA's Hubble Space Telescope entered a new era of science operations as September began, when engineers shut down one of the three operational gyroscopes aboard the observatory."
wn-0078,0,LAUNCHED_FROM,Shenzhou,Shenzhou,SPACECRAFT,SPACECRAFT:Shenzhou,the People's Republic of China,People's Republic of China,GPE,GPE:People's Republic of China,launched,path_trigger,0.4,rule,"BBC News is reporting that the People's Republic of China has successfully launched its second manned space flight, Shenzhou VI."
wn-0078,1,LAUNCHED_FROM,Shenzhou,Shenzhou,SPACECRAFT,SPACECRAFT:Shenzhou,China,China,GPE,GPE:China,launch,path_trigger,0.4,rule,"The mission is more ambitious than the previous Shenzhou V, which made China only the third nation to launch a manned space mission."
wn-0079,2,ORBITS,Shenzhou,Shenzhou,SPACECRAFT,SPACECRAFT:Shenzhou,Earth,Earth,CELESTIAL,CELESTIAL:Earth,orbited,active_svo,0.88,rule,The Shenzhou VI orbited the Earth 76 times during the mission.
wn-0079,7,ORBITS,Shenzhou,Shenzhou,SPACECRAFT,SPACECRAFT:Shenzhou,Earth,Earth,CELESTIAL,CELESTIAL:Earth,orbited,path_trigger,0.4,rule,Yang Liwei was the first Chinese in space and orbited the Earth in the Shenzhou V 14 times in 2003.
wn-0080,2,DESTINATION,Venus Express,Venus Express,SPACECRAFT,SPACECRAFT:Venus Express,Venus,Venus,CELESTIAL,CELESTIAL:Venus,arrive,verb_prep,0.82,rule,Venus Express is to arrive at Venus in April 2006.
wn-0080,8,ORBITS,Mars Express,Mars Express,SPACECRAFT,SPACECRAFT:Mars Express,Mars,Mars,CELESTIAL,CELESTIAL:Mars,orbiting,path_trigger,0.4,rule,Venus express is a clone of Mars Express which has been orbiting Mars since December 2003.
wn-0089,49,LAUNCHED_FROM,Stardust,Stardust,SPACECRAFT,SPACECRAFT:Stardust,Cape Canaveral,Cape Canaveral,FAC,FAC:Cape Canaveral,launched,verb_prep,0.82,rule,"The Stardust spacecraft was launched on February 7, 1999, from Cape Canaveral Air Station, Florida, aboard a Delta II rocket."
wn-0100,4,OPERATED_BY,Mars Express,Mars Express,SPACECRAFT,SPACECRAFT:Mars Express,European Space Agency,ESA,ORG,ORG:ESA,Agency,poss,0.62,rule,"As of now, the European Space Agency's Mars Express along with NASA's Mars Global Surveyor and Mars Odyssey are orbiting the planet."
wn-0100,4,OPERATED_BY,Mars Global Surveyor,Mars Global Surveyor,SPACECRAFT,SPACECRAFT:Mars Global Surveyor,NASA,NASA,ORG,ORG:NASA,NASA,poss,0.62,rule,"As of now, the European Space Agency's Mars Express along with NASA's Mars Global Surveyor and Mars Odyssey are orbiting the planet."
wn-0102,4,CREWED_BY,Mars Global Surveyor,Mars Global Surveyor,SPACECRAFT,SPACECRAFT:Mars Global Surveyor,Altimeter,Altimeter,PERSON,PERSON:Altimeter,aboard,np_prep,0.6,rule,The color-coded elevation data is a shaded-relief map taken by the Mars Orbiter Laser Altimeter (MOLA) on NASA's Mars Global Surveyor spacecraft.
wn-0102,4,OPERATED_BY,Mars Global Surveyor,Mars Global Surveyor,SPACECRAFT,SPACECRAFT:Mars Global Surveyor,NASA,NASA,ORG,ORG:NASA,NASA,poss,0.62,rule,The color-coded elevation data is a shaded-relief map taken by the Mars Orbiter Laser Altimeter (MOLA) on NASA's Mars Global Surveyor spacecraft.
wn-0102,4,ORBITS,Mars Global Surveyor,Mars Global Surveyor,SPACECRAFT,SPACECRAFT:Mars Global Surveyor,Mars,Mars,CELESTIAL,CELESTIAL:Mars,Orbiter,path_trigger,0.4,rule,The color-coded elevation data is a shaded-relief map taken by the Mars Orbiter Laser Altimeter (MOLA) on NASA's Mars Global Surveyor spacecraft.
wn-0102,5,OPERATED_BY,Mars Odyssey,Mars Odyssey,SPACECRAFT,SPACECRAFT:Mars Odyssey,NASA,NASA,ORG,ORG:NASA,NASA,poss,0.62,rule,"The visible data is made from black and white images taken by the Mars Orbiter Camera (MOC), which is also located onboard the Mars Global Surveyor, and the infrared images were produced by the Thermal Emission Imaging System (THEMIS) on NASA's Mars Odyssey spacecraft."
wn-0105,3,LAUNCHED_BY,Voyager 1,Voyager 1,SPACECRAFT,SPACECRAFT:Voyager 1,NASA,NASA,ORG,ORG:NASA,launched,passive_agent,0.92,rule,"Voyager 1 had been launched on September 5, 1977 by NASA and was the first spacecraft to transmit close-up pictures of Jupiter and Saturn."
wn-0110,137,DESTINATION,Stardust,Stardust,SPACECRAFT,SPACECRAFT:Stardust,Mars,Mars,CELESTIAL,CELESTIAL:Mars,missions,path_trigger,0.4,rule,I'm just curious as to your thoughts on if CS majors will be more in demand now that projects like Stardust and the Mars missions have been great successes?
wn-0116,0,OPERATED_BY,shuttle Discovery,shuttle Discovery,SPACECRAFT,SPACECRAFT:shuttle Discovery,NASA,NASA,ORG,ORG:NASA,NASA,poss,0.62,rule,"With a planned launch time of 3:48 EDT (19:48 UTC), NASA's shuttle Discovery embarks on the second mission since the loss of shuttle Columbia in 2003."
wn-0119,0,LAUNCHED_FROM,Space Shuttle Discovery,Space Shuttle Discovery,SPACECRAFT,SPACECRAFT:Space Shuttle Discovery,Kennedy Space Center,Kennedy Space Center,FAC,FAC:Kennedy Space Center,launched,verb_prep,0.82,rule,"The Space Shuttle Discovery has been launched from Kennedy Space Center, on mission STS-121."
wn-0128,0,LAUNCHED_FROM,International Space Station,ISS,SPACECRAFT,SPACECRAFT:ISS,Woomera,Woomera,GPE,GPE:Woomera,launched,path_trigger,0.4,rule,NASA has announced that rockets will be launched from Woomera in outback South Australia to service the International Space Station (ISS) &amp;mdash; starting in 2008.
wn-0128,0,LAUNCHED_FROM,International Space Station,ISS,SPACECRAFT,SPACECRAFT:ISS,South Australia,South Australia,LOC,LOC:South Australia,launched,path_trigger,0.4,rule,NASA has announced that rockets will be launched from Woomera in outback South Australia to service the International Space Station (ISS) &amp;mdash; starting in 2008.
wn-0133,0,OPERATED_BY,Swift,Swift,SPACECRAFT,SPACECRAFT:Swift,NASA,NASA,ORG,ORG:NASA,NASA,poss,0.62,rule,Scientists using NASA's Swift Satellite and other telescopes have observed a supernova in near real time occurring in the constellation of Aries.
wn-0144,2,ORBITS,Space Shuttle Atlantis,Space Shuttle Atlantis,SPACECRAFT,SPACECRAFT:Space Shuttle Atlantis,Earth,Earth,CELESTIAL,CELESTIAL:Earth,orbited,path_trigger,0.4,rule,"controllers in Houston, Texas, U.S.A observed an unidentified object at approximately 7:45 UTC today moving at an undetermined distance from the Space Shuttle Atlantis as it orbited the Earth at an altitude of over 190 nautical miles."
wn-0147,18,OPERATED_BY,James Webb Space Telescope,James Webb Space Telescope,SPACECRAFT,SPACECRAFT:James Webb Space Telescope,NASA,NASA,ORG,ORG:NASA,NASA,poss,0.62,rule,"More rigorous confirmation will have to wait for new technology, specifically NASA's James Webb Space Telescope, to be launched in 2013."
wn-0154,0,OPERATED_BY,Cassini,Cassini,SPACECRAFT,SPACECRAFT:Cassini,NASA,NASA,ORG,ORG:NASA,NASA,poss,0.62,rule,NASA's Cassini Spacecraft has captured images of a massive hurricane on the planet Saturn.
wn-0154,4,CREWED_BY,Cassini,Cassini,SPACECRAFT,SPACECRAFT:Cassini,Andrew Ingersoll,Andrew Ingersoll,PERSON,PERSON:Andrew Ingersoll,member,path_trigger,0.4,rule,"Whatever it is, we're going to focus on the eye of this storm and find out why it's there,"" said Doctor Andrew Ingersoll, a member of Cassini's imaging team at the California Institute of Technology located in Pasadena."
wn-0158,20,OPERATED_BY,Mars Global Surveyor,Mars Global Surveyor,SPACECRAFT,SPACECRAFT:Mars Global Surveyor,Jet Propulsion Laboratory,JPL,ORG,ORG:JPL,manages,active_svo,0.88,rule,"NASA's Jet Propulsion Laboratory, Pasadena, manages the Mars Global Surveyor mission for the NASA Science Mission Directorate located in Washington D.C.."
wn-0164,2,CREWED_BY,Cassini,Cassini,SPACECRAFT,SPACECRAFT:Cassini,Ellen Stofan,Ellen Stofan,PERSON,PERSON:Ellen Stofan,member,path_trigger,0.4,rule,"I would say at this point, we've analyzed the data to the extent that we feel very confident that they are liquid-filled lakes,"" said University College London and Caltech and Cassini team member, Ellen Stofan."
wn-0176,3,OPERATED_BY,Chandra X-ray Observatory,Chandra X-ray Observatory,SPACECRAFT,SPACECRAFT:Chandra X-ray Observatory,NASA,NASA,ORG,ORG:NASA,run,path_trigger,0.4,rule,"The American scientists found the new stars in the Southern Cross by using the Chandra X-ray Observatory, a space satellite run by NASA (National Aeronautics and Space Administration) which uses x-rays."
wn-0178,0,OPERATED_BY,Mars Reconnaissance Orbiter,Mars Reconnaissance Orbiter,SPACECRAFT,SPACECRAFT:Mars Reconnaissance Orbiter,NASA,NASA,ORG,ORG:NASA,NASA,poss,0.62,rule,"NASA's Mars Reconnaissance Orbiter has discovered more evidence on the Planet Mars that water may have flowed beneath the surface and that ""cracks"" that lead below the surface may have, at one time, been ""habitable"" for ""microbial life,"" according to the head investigater for the orbiter's camera, Dr. Alfred McEwen."
wn-0179,0,OPERATED_BY,Spitzer Space Telescope,Spitzer Space Telescope,SPACECRAFT,SPACECRAFT:Spitzer Space Telescope,NASA,NASA,ORG,ORG:NASA,NASA,poss,0.62,rule,"NASA's Spitzer Space Telescope made news this week when it was announced that the space observatory had, for the first time, captured enough light to detect molecules in the atmospheres of planets outside the solar system."
wn-0184,0,OPERATED_BY,Mars Express,Mars Express,SPACECRAFT,SPACECRAFT:Mars Express,European Space Agency,ESA,ORG,ORG:ESA,Agency,poss,0.62,rule,The European Space Agency's Mars Express spacecraft has discovered ice deposits in the south pole of Mars that are larger than the state of Texas.
wn-0191,0,DESTINATION,Phoenix,Phoenix,SPACECRAFT,SPACECRAFT:Phoenix,Mars,Mars,CELESTIAL,CELESTIAL:Mars,mission,noun_of,0.75,rule,"Canadian news Canada has contributed a significant component to NASA's Phoenix mission to Mars, announced Maxime Bernier, Canada's Minister of Industry."
wn-0191,0,OPERATED_BY,Phoenix,Phoenix,SPACECRAFT,SPACECRAFT:Phoenix,NASA,NASA,ORG,ORG:NASA,NASA,poss,0.62,rule,"Canadian news Canada has contributed a significant component to NASA's Phoenix mission to Mars, announced Maxime Bernier, Canada's Minister of Industry."
wn-0191,2,DESTINATION,Phoenix,Phoenix,SPACECRAFT,SPACECRAFT:Phoenix,Mars,Mars,CELESTIAL,CELESTIAL:Mars,touch down,verb_prep,0.82,rule,"The Phoenix Lander, with several on-board instruments, is to launch in August 2007 and touch down on Mars in May 2008."
wn-0191,10,CREWED_BY,International Space Station,ISS,SPACECRAFT,SPACECRAFT:ISS,Canadarm,Canadarm,PERSON,PERSON:Canadarm,aboard,np_prep,0.6,rule,Examples of technological contributions include the Canadarm and Canadarm2 on the Space Shuttle and International Space Station.
wn-0191,10,CREWED_BY,Space Shuttle,Space Shuttle,SPACECRAFT,SPACECRAFT:Space Shuttle,Canadarm,Canadarm,PERSON,PERSON:Canadarm,aboard,np_prep,0.6,rule,Examples of technological contributions include the Canadarm and Canadarm2 on the Space Shuttle and International Space Station.
wn-0192,0,OPERATED_BY,Mars Global Surveyor,Mars Global Surveyor,SPACECRAFT,SPACECRAFT:Mars Global Surveyor,NASA,NASA,ORG,ORG:NASA,NASA,poss,0.62,rule,"A complex series of events, including a five month-old computer error, was responsible for the battery failure that led to the loss of NASA's Mars Global Surveyor last year, an internal review board says."
wn-0195,0,LAUNCHED_FROM,PSLV,PSLV,SPACECRAFT,SPACECRAFT:PSLV,India,India,GPE,GPE:India,launch,path_trigger,0.4,rule,India The Indian Space Research Organisation (ISRO) announced India’s first commercial launch of the Polar Satellite Launch Vehicle (PSLV).
wn-0204,0,OPERATED_BY,Spirit Rover,Spirit Rover,SPACECRAFT,SPACECRAFT:Spirit Rover,NASA,NASA,ORG,ORG:NASA,NASA,poss,0.62,rule,"NASA's Spirit Rover on Mars has found ""silica-rich soil"" in Gusev Crater that scientists say is so rich that it would require that water have been present at some point, in order for the deposits to be there."
wn-0214,1,OPERATED_BY,Space Shuttle Atlantis,Space Shuttle Atlantis,SPACECRAFT,SPACECRAFT:Space Shuttle Atlantis,NASA,NASA,ORG,ORG:NASA,NASA,poss,0.62,rule,Astronauts on NASA's Space Shuttle Atlantis have repaired a 4 inch tear in the shuttle's Thermal Protection System (TPS).
wn-0221,5,OPERATED_BY,Spitzer,Spitzer,SPACECRAFT,SPACECRAFT:Spitzer,NASA,NASA,ORG,ORG:NASA,NASA,poss,0.62,rule,"""Finding water on this planet implies that other planets in the universe, possibly even rocky ones, could also have water,"" said co-author Sean Carey of NASA's Spitzer Science Center at the California Institute of Technology in Pasadena."
wn-0230,1,PART_OF,Proton,Proton,SPACECRAFT,SPACECRAFT:Proton,Breeze M,Breeze M,ORG,ORG:Breeze M,stage,path_trigger,0.4,rule,The launch vehicle was a Proton M booster with a Breeze M upper stage.
wn-0230,2,LAUNCHED_FROM,Proton,Proton,SPACECRAFT,SPACECRAFT:Proton,Baikonur Cosmodrome,Baikonur Cosmodrome,FAC,FAC:Baikonur Cosmodrome,launched,verb_prep,0.82,rule,"More than 300 Proton rockets have been launched, all from the Baikonur Cosmodrome in Kazakhstan."
wn-0230,3,LAUNCHED_FROM,Proton,Proton,SPACECRAFT,SPACECRAFT:Proton,Baikonur,Baikonur,FAC,FAC:Baikonur,launch,verb_prep,0.82,rule,"Following the launch failure, Kazakhstan suspended the launch of Proton rockets from Baikonur, Interfax news agency reported."
wn-0230,3,LAUNCHED_FROM,Proton,Proton,SPACECRAFT,SPACECRAFT:Proton,Kazakhstan,Kazakhstan,GPE,GPE:Kazakhstan,launch,path_trigger,0.4,rule,"Following the launch failure, Kazakhstan suspended the launch of Proton rockets from Baikonur, Interfax news agency reported."
wn-0231,9,DESTINATION,Cassini,Cassini,SPACECRAFT,SPACECRAFT:Cassini,Saturn,Saturn,CELESTIAL,CELESTIAL:Saturn,probe,path_trigger,0.4,rule,This flyby will likely be the last close flyby of one of Saturn's moons by the Cassini probe.
wn-0237,0,OPERATED_BY,Mars Odyssey,Mars Odyssey,SPACECRAFT,SPACECRAFT:Mars Odyssey,NASA,NASA,ORG,ORG:NASA,NASA,poss,0.62,rule,"New images from Mars, taken by NASA's Mars Odyssey spacecraft and the Mars Global Surveyor have shown what appears to be at least seven entrances to large caves on the slope of Arsia Mons, a Martian volcano."
wn-0238,1,OPERATED_BY,Spitzer,Spitzer,SPACECRAFT,SPACECRAFT:Spitzer,NASA,NASA,ORG,ORG:NASA,NASA,poss,0.62,rule,The new discovery was made by NASA's Spitzer Space telescope.
wn-0241,0,OPERATED_BY,Cassini,Cassini,SPACECRAFT,SPACECRAFT:Cassini,NASA,NASA,ORG,ORG:NASA,NASA,poss,0.62,rule,"Scientists say that floating inside Saturn's rings are pieces of what they believe to be a ""shattered moon,"" according to images captured by NASA's spacecraft Cassini–Huygens."
wn-0244,3,CREWED_BY,ISS,ISS,SPACECRAFT,SPACECRAFT:ISS,Whitson,Whitson,PERSON,PERSON:Whitson,Commander,path_trigger,0.4,rule,"Whitson, who is ISS's first female Commander, exclaimed ""Yay, got it!"""
wn-0246,0,OPERATED_BY,Venus Express,Venus Express,SPACECRAFT,SPACECRAFT:Venus Express,European Space Agency,ESA,ORG,ORG:ESA,Agency,poss,0.62,rule,New data from the European Space Agency's Venus Express mission suggest that Venus was once Earth-like but later evolved in a different way.
wn-0248,0,LAUNCHED_BY,Space Shuttle Atlantis,Space Shuttle Atlantis,SPACECRAFT,SPACECRAFT:Space Shuttle Atlantis,STS-122,STS-122,ORG,ORG:STS-122,launch,path_trigger,0.4,rule,"NASA have today announced that the launch of Space Shuttle Atlantis, mission STS-122, which is a module delivery mission to the International Space Station (ISS), will be delayed until January 2nd, 2008 at the earliest, after scrubbing today's launch attempt, and an earlier attempt on December 6th."
wn-0248,5,PART_OF,ISS,ISS,SPACECRAFT,SPACECRAFT:ISS,European Space Agency,ESA,ORG,ORG:ESA,module,path_trigger,0.4,rule,Atlantis is due to deliver the European Space Agency's (ESA) Columbus laboratory module to the ISS.
wn-0249,0,DESTINATION,Cassini,Cassini,SPACECRAFT,SPACECRAFT:Cassini,Saturn,Saturn,CELESTIAL,CELESTIAL:Saturn,probe,path_trigger,0.4,rule,Recent scans on the planet Saturn by the space probe Cassini–Huygens have shown that the planet's rings are much older than previously thought.
wn-0249,10,OPERATED_BY,Cassini,Cassini,SPACECRAFT,SPACECRAFT:Cassini,NASA,NASA,ORG,ORG:NASA,operated,passive_agent,0.92,rule,Cassini is operated jointly by NASA and the European Space Agency.
wn-0249,10,OPERATED_BY,Cassini,Cassini,SPACECRAFT,SPACECRAFT:Cassini,European Space Agency,ESA,ORG,ORG:ESA,operated,passive_agent,0.92,rule,Cassini is operated jointly by NASA and the European Space Agency.
wn-0252,0,LAUNCHED_BY,Space Shuttle Atlantis,Space Shuttle Atlantis,SPACECRAFT,SPACECRAFT:Space Shuttle Atlantis,STS-122,STS-122,ORG,ORG:STS-122,launch,path_trigger,0.4,rule,"NASA has announced that the launch of Space Shuttle Atlantis, mission STS-122, will once again be postponed, this time until late January or early February."
wn-0255,0,OPERATED_BY,MESSENGER,MESSENGER,SPACECRAFT,SPACECRAFT:MESSENGER,NASA,NASA,ORG,ORG:NASA,NASA,poss,0.62,rule,"Today, NASA's spacecraft MESSENGER, or the MErcury Surface, Space ENvironment, GEochemistry, and Ranging spacecraft, is expected to begin its two day mission at about noon (eastern time), of data collecting and photographing of the planet Mercury."
