correct,doc_id,sent_id,relation,subj,obj,trigger,pattern,confidence,source,subj_key,obj_key,sentence
n,wn-0001,1,LAUNCHED_BY,Delta IV,the U.S. Air Force Research Laboratory,launch,path_trigger,0.4,rule,SPACECRAFT:Delta IV,ORG:U.S. Air Force Research Laboratory,"The dummy satellite, the purpose of which was to monitor the Delta IV launch, as well as two experimental nanosatellites, provided by the U.S. Air Force Research Laboratory to take digital photos of cloud formations and to test the effectiveness of materials in spacecraft, were lost."
n,wn-0303,5,LAUNCHED_BY,Space Shuttle Endeavour,the Japanese Experiment Module,launch,path_trigger,0.4,rule,SPACECRAFT:Space Shuttle Endeavour,ORG:Japanese Experiment Module,"The next manned launch to the Station is planned to occur at the end of the month, when Space Shuttle Endeavour will launch on mission STS-124 with the main pressurised component of the Japanese Experiment Module."
n,wn-0002,1,LAUNCHED_BY,Delta IV,the U.S. Air Force Research Laboratory,launch,path_trigger,0.4,rule,SPACECRAFT:Delta IV,ORG:U.S. Air Force Research Laboratory,"The dummy satellite, the purpose of which was to monitor the Delta IV launch, as well as two experimental nanosatellites, provided by the U.S. Air Force Research Laboratory to take digital photos of cloud formations and to test the effectiveness of materials in spacecraft, were lost."
n,wn-0327,24,LAUNCHED_BY,Ariane 5,ECA,launch,path_trigger,0.4,rule,SPACECRAFT:Ariane 5,ORG:ECA,"This marked the 40th launch of an Ariane 5, and the 15th of the ECA configuration."
y,wn-0309,0,LAUNCHED_BY,Long March,ChinaThe Chinese National Space Administration,launched,active_svo,0.88,rule,SPACECRAFT:Long March,ORG:ChinaThe Chinese National Space Administration,"ChinaThe Chinese National Space Administration has launched a Long March 4C carrier rocket, carrying the Fengyun-3A (FY-3A) weather satellite."
y,wn-0263,0,LAUNCHED_FROM,Space Shuttle Atlantis,Kennedy Space Center,launch,verb_prep,0.82,rule,SPACECRAFT:Space Shuttle Atlantis,FAC:Kennedy Space Center,"The United States Space Shuttle Atlantis and the European space station module Columbus are ready for launch from the Kennedy Space Center in Florida, although NASA and ESA have said that there is only a “40 percent chance of acceptable conditions at launch times.”"
n,wn-0195,0,LAUNCHED_FROM,PSLV,India,launch,path_trigger,0.4,rule,SPACECRAFT:PSLV,GPE:India,India The Indian Space Research Organisation (ISRO) announced India’s first commercial launch of the Polar Satellite Launch Vehicle (PSLV).
y,wn-0325,0,LAUNCHED_FROM,Proton,Baikonur Cosmodrome,launched,path_trigger,0.4,rule,SPACECRAFT:Proton,FAC:Baikonur Cosmodrome,"At 23:59 GMT yesterday, a Russian Proton rocket, with a Block DM-3 upper stage, launched from Site 81/24 at the Baikonur Cosmodrome in Kazakhstan, placing a Prognoz satellite for the Russian Ministry of Defence into a geosynchronous orbit."
n,wn-0078,0,LAUNCHED_FROM,Shenzhou,the People's Republic of China,launched,path_trigger,0.4,rule,SPACECRAFT:Shenzhou,GPE:People's Republic of China,"BBC News is reporting that the People's Republic of China has successfully launched its second manned space flight, Shenzhou VI."
y,wn-0119,0,LAUNCHED_FROM,Space Shuttle Discovery,Kennedy Space Center,launched,verb_prep,0.82,rule,SPACECRAFT:Space Shuttle Discovery,FAC:Kennedy Space Center,"The Space Shuttle Discovery has been launched from Kennedy Space Center, on mission STS-121."
y,wn-0474,7,OPERATED_BY,Swift,NASA,NASA,poss,0.62,rule,SPACECRAFT:Swift,ORG:NASA,"XMM-Newton was tasked to investigate, as was NASA's Swift satellite."
y,wn-0024,6,OPERATED_BY,Mars Express,European Space Agency,Agency,poss,0.62,rule,SPACECRAFT:Mars Express,ORG:ESA,"New images of the landscape taken by the High Resolution Stereo Camera (HRSC) on the European Space Agency's Mars Express Mission show that flowing water, large glaciers and active volcanoes have also taken their toll on the face of Mars."
y,wn-0100,4,OPERATED_BY,Mars Global Surveyor,NASA,NASA,poss,0.62,rule,SPACECRAFT:Mars Global Surveyor,ORG:NASA,"As of now, the European Space Agency's Mars Express along with NASA's Mars Global Surveyor and Mars Odyssey are orbiting the planet."
y,wn-0284,13,OPERATED_BY,Spitzer Space Telescope,NASA,NASA,poss,0.62,rule,SPACECRAFT:Spitzer Space Telescope,ORG:NASA,"This discovery also confirmed the presence of water molecules in the planet's atmosphere, which was found by NASA's Spitzer Space Telescope last year using spectroscopy."
y,wn-0237,0,OPERATED_BY,Mars Odyssey,NASA,NASA,poss,0.62,rule,SPACECRAFT:Mars Odyssey,ORG:NASA,"New images from Mars, taken by NASA's Mars Odyssey spacecraft and the Mars Global Surveyor have shown what appears to be at least seven entrances to large caves on the slope of Arsia Mons, a Martian volcano."
y,wn-0079,2,ORBITS,Shenzhou,Earth,orbited,active_svo,0.88,rule,SPACECRAFT:Shenzhou,CELESTIAL:Earth,The Shenzhou VI orbited the Earth 76 times during the mission.
y,wn-0498,15,ORBITS,ISS,Earth,orbit,path_trigger,0.4,rule,SPACECRAFT:ISS,CELESTIAL:Earth,"Ovchinin and Hague were due to join the crew of Expedition 57 aboard the ISS in low Earth orbit, which would have brought the current ISS crew from three to five."
n,wn-0102,4,ORBITS,Mars Global Surveyor,Mars,Orbiter,path_trigger,0.4,rule,SPACECRAFT:Mars Global Surveyor,CELESTIAL:Mars,The color-coded elevation data is a shaded-relief map taken by the Mars Orbiter Laser Altimeter (MOLA) on NASA's Mars Global Surveyor spacecraft.
y,wn-0487,6,ORBITS,MESSENGER,Mercury,orbiting,active_svo,0.88,rule,SPACECRAFT:MESSENGER,CELESTIAL:Mercury,"MESSENGER began orbiting Mercury in March 2011, becoming the first spacecraft to do so."
y,wn-0144,2,ORBITS,Space Shuttle Atlantis,Earth,orbited,path_trigger,0.4,rule,SPACECRAFT:Space Shuttle Atlantis,CELESTIAL:Earth,"controllers in Houston, Texas, U.S.A observed an unidentified object at approximately 7:45 UTC today moving at an undetermined distance from the Space Shuttle Atlantis as it orbited the Earth at an altitude of over 190 nautical miles."
n,wn-0375,15,PART_OF,Planck,Herschel,instruments,path_trigger,0.4,rule,SPACECRAFT:Planck,SPACECRAFT:Herschel,"Herschel is the largest telescope we have ever put into space and the instruments on Planck will operate at just a tenth of a degree above absolute zero,"" said Lord Drayson, the United Kingdom's science minister, ""This is really cool science happening at mind-blowingly low temperatures, helping to answer some of the basic questions about the history of the universe."
y,wn-0494,2,PART_OF,Saturn V,Project Apollo,of,np_prep,0.6,rule,SPACECRAFT:Saturn V,SPACECRAFT:Project Apollo,This is the most powerful rocket since the Saturn V of Project Apollo was retired in 1970.
n,wn-0455,1,PART_OF,International Space Station,RRM,Module,path_trigger,0.4,rule,SPACECRAFT:ISS,ORG:RRM,"The mission is slated to last 12 days and will deliver parts and supplies to the International Space Station (ISS), including the Raffaello Multi-Purpose Logistics Module and an experiment, the Robotic Refueling Mission (RRM), designed to test methods, tools, and technologies required to robotically refuel satellites in space, even those not designed to be serviced."
n,wn-0230,1,PART_OF,Proton,Breeze M,stage,path_trigger,0.4,rule,SPACECRAFT:Proton,ORG:Breeze M,The launch vehicle was a Proton M booster with a Breeze M upper stage.
n,wn-0292,7,PART_OF,International Space Station,Pirs,module,path_trigger,0.4,rule,SPACECRAFT:ISS,ORG:Pirs,Docking with the Pirs module of International Space Station is planned for Thursday at 13:00 GMT.
